settlement_date,region_id,total_demand,price,scheduled_generation,semi_scheduled_generation
2026-09-19T00:40:00,TAS1,835.34,24.47231,281.99556,388.97444
2026-09-19T04:05:00,TAS1,832.69,-0.57755,217.00422,354.74578
2026-09-19T07:05:00,TAS1,942.14,0.2,299.24437,223.70563
2026-09-19T09:30:00,TAS1,903.37,-15.01,257.99752,223.05248
2026-09-19T11:30:00,TAS1,784.4,-15.01,190.10253,244.29747
2026-09-19T16:20:00,TAS1,942.82,88.2,392.77054,200.04946
2026-09-19T21:20:00,TAS1,1035.85,88.2,986.93867,148.91133
