settlement_date,region_id,total_demand,price,scheduled_generation,semi_scheduled_generation
2026-09-21T00:00:00,NSW1,6909.73,79.5457,5198.19168,1806.66832
2026-09-21T03:25:00,NSW1,6639.55,96.9899,4809.24434,1835.40566
2026-09-21T05:35:00,NSW1,6697.06,92.30074,5025.26755,1511.68245
2026-09-21T08:10:00,NSW1,6540.73,42.94,3208.08649,3026.32351
2026-09-21T10:25:00,NSW1,5770.41,46.45,2786.46701,3175.17299
2026-09-21T15:15:00,NSW1,7784.54,130.23,4470.3879,2581.4521
2026-09-21T21:00:00,NSW1,7908.73,110.96063,6808.5775,1126.4125
